,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
688000,221038,47004,367968,516005,470946,383040,514994,606594,534943,240001
689000,235014,47961,356035,555007,521991,400997,501007,601987,534958,245996
690000,229994,68047,346003,573973,480035,376991,528038,602954,557995,243037
691000,223002,45013,335994,526002,458004,379003,509997,612956,516050,247999
692000,227962,43996,365995,522634,477955,381036,504963,617039,542950,243995
693000,266030,44973,338003,519971,449960,386005,510948,617047,518999,246983
694000,225001,46000,341995,516037,457964,396931,506979,614996,518503,244962
695000,224038,46002,345008,552998,462994,389039,525958,673122,524013,252127
696000,231957,45000,348040,516957,495035,407000,508971,678007,551013,271984
697000,225043,44990,358014,536948,456515,408027,512967,615034,523956,246998
698000,227041,46005,348961,539040,468609,410997,512581,623046,548988,260994
699000,245996,47035,351014,540015,472001,391944,538997,665510,523999,250041
700000,240001,46991,349978,515998,493997,417995,518047,617942,529653,247998
701000,223584,46016,353002,517001,474954,387038,531996,615958,519022,272003
702000,225963,48044,345002,524993,477010,395945,520003,636034,528055,249008
703000,230949,46999,348043,525963,465038,398012,514992,616002,539002,244992
704000,228952,50002,352994,583000,526962,431041,645595,674997,607993,288036
705000,259029,56005,386957,660999,574992,451992,651968,754518,694997,307991
706000,311996,53992,436037,677953,659995,559998,743558,827996,685039,292964
707000,261047,51994,389957,599996,560000,456388,590044,625979,525003,253011
708000,244035,46008,373016,516991,486004,825051,1176442,1385625,891984,258030
709000,240038,45992,357012,543002,483950,393005,530046,640003,528977,246005
710000,231040,45999,347009,509995,506039,432008,518953,622037,535799,249995
711000,231000,46019,355963,595999,503032,425949,579012,641985,531999,275962
712000,235035,47013,386011,516015,490000,396988,536006,653988,535997,249010
713000,229005,46994,348013,545004,506038,521961,523038,635367,532997,256033
714000,230997,46003,368317,547994,477014,409000,529009,636992,556047,254988
715000,235948,47999,350014,503991,496013,397040,536988,631026,523047,257990
716000,270960,45998,356033,540008,500960,407045,526991,630997,536062,252959
717000,232005,46018,378997,584039,488007,409996,528950,658996,596832,250613
718000,231010,48993,354043,521010,473040,428965,547991,634998,536973,254001
719000,234505,47000,358034,526002,518005,404953,558048,634985,544995,257006
720000,253989,46014,354008,541964,495217,402962,532041,651008,540984,261013
721000,234001,45990,355967,854984,513604,421918,540992,637999,545991,255997
722000,237039,46982,355933,605965,494952,414000,563995,646040,557991,251982
723000,242958,46994,357039,560959,496962,410967,559994,640996,533558,255949
724000,233953,72965,357037,559961,512988,425941,537047,695978,565575,263998
725000,285995,47000,355051,644912,476011,405951,537007,650985,540013,258976
726000,237631,47989,354003,532954,530049,423998,540002,642954,553039,259008
727000,235049,50986,360960,555047,503999,445308,575998,643985,558002,253987
728000,237005,48005,366948,541002,515963,411007,559974,638048,543931,259998
729000,234964,47997,356036,533000,538003,417952,571989,656510,540981,255042
730000,237008,49953,371029,519962,498757,408994,541009,644989,571014,259027
731000,239950,48008,356994,534014,471942,409042,561006,681010,553466,260033
732000,236997,47963,362048,557997,487008,408950,587032,649009,549989,269971
733000,237035,51002,366007,538985,499951,418997,552045,663986,582955,258041
734000,238998,48009,363949,545038,519007,460997,547990,668985,550035,258034
735000,238002,48040,375998,547960,497036,429999,542956,656047,583947,260050
736000,235958,52000,472999,804998,627032,440459,558043,654995,559944,263045
737000,238995,48004,372956,581040,514993,416961,549997,675998,586618,267000
738000,270038,51000,366954,560992,551000,426034,575970,697015,567996,266938
739000,245067,47997,369036,566010,524945,461033,563944,669037,568927,279008
740000,241963,48998,369989,559050,512969,427994,560030,691974,563974,265971
741000,238947,48999,399004,549627,577961,422050,551986,653995,562003,265994
742000,257029,53014,372999,544954,504662,420996,560954,684051,563994,263955
743000,244992,48000,370001,550997,532046,435995,565951,668002,566045,264003
744000,241964,49026,368630,607950,480044,424983,560010,680991,582009,270980
745000,244032,49016,368950,537052,546997,434986,602948,664526,565996,274041
746000,242995,49000,367635,586002,556986,422039,566965,682053,563004,280955
747000,273976,49995,378028,535969,510991,424002,573036,696016,575945,293989
748000,244965,50026,369010,586926,541994,424960,566986,673005,577946,272052
749000,268939,51002,376962,560672,510998,458036,570955,703976,577040,269000
750000,248003,60965,435001,591518,533996,476983,606992,706999,637035,272014
751000,243003,57989,376964,543038,543014,424456,578038,677009,566944,270035
752000,249967,54000,372001,599955,522058,448999,567046,685008,562012,267002
753000,244045,50000,371996,544996,546049,428946,568041,676999,586034,263957
754000,242994,50042,373963,667047,507002,428987,580999,675958,563504,267054
755000,247037,50005,377001,642003,508959,422997,571995,714598,589946,266049
756000,240999,51999,371997,565995,534958,428042,600949,700041,576491,270966
757000,251963,51049,377006,586957,542037,434982,574994,691954,570052,279943
758000,242516,49997,373955,570686,527964,439050,569948,690036,574009,297000
759000,277008,49990,381272,581993,545000,429999,573627,671999,572960,269001
760000,258045,50990,378002,571018,510988,440558,578990,699008,569999,269003
761000,248005,51950,377040,581954,579995,452002,571996,676041,570997,267001
762000,250994,49989,397965,570010,548000,438563,570000,698960,590987,293003
763000,248998,49998,381994,559035,542962,489049,583968,685452,573999,272043
764000,251994,49998,393001,572034,514022,434003,576034,677604,605983,270999
765000,247014,51004,410948,573030,534008,441954,601045,755047,626602,276956
766000,248999,49999,380041,605000,508013,465988,575001,682956,595038,270273
767000,255959,49998,376000,590987,555961,438994,594996,689986,591033,273957
768000,251033,51003,377963,724039,518957,440988,576000,709031,595959,273995
769000,250990,49961,387001,559039,524015,437033,593012,704174,579983,273006
770000,255996,52039,383003,586005,537012,441040,576036,684006,577997,284990
771000,251047,71999,386997,563040,545959,440994,619547,688996,582999,275918
772000,249008,51004,382004,569001,559956,457031,591959,696195,587059,285993
773000,249002,50005,377040,586960,547045,448997,587945,707038,585997,277959
774000,251000,51049,382954,544038,546961,448004,593007,702992,581051,280948
775000,259047,51004,380994,584946,564042,446007,584994,719046,595997,271600
776000,253957,51997,384044,591986,528000,473000,585984,723993,586035,275012
777000,265992,50999,386999,618998,502045,443949,620947,714997,590043,275502
778000,251033,52015,390601,570946,589999,443991,592010,712048,587954,274969
779000,285010,51000,389018,560642,608965,455028,592003,712009,588985,279012
780000,253998,51010,381988,594004,545993,448042,595008,700986,632961,278039
781000,275952,51997,393998,585037,535007,447989,587956,726036,591008,276953
782000,252051,51952,385990,591002,541065,464990,592996,725005,594948,275002
783000,294996,52003,386988,592960,540031,450736,591007,723001,597001,277008
784000,252988,51005,388012,622001,553055,455460,624038,701994,614040,279957
785000,288043,50041,384008,576948,555997,450990,621545,719995,598993,279048
786000,257621,50966,383003,581935,539972,453050,592955,703048,589960,305997
787000,278038,50997,389005,797959,540996,453996,612995,843959,631046,298004
788000,256997,52003,390010,759998,548004,450927,641039,792953,631999,284035
789000,270987,54013,399002,636994,541034,456037,608962,708630,596960,275038
790000,252956,54000,413995,645000,520996,456997,602947,712034,616995,274997
791000,252001,54008,390000,616003,521001,470993,602999,784993,678038,280949
792000,281995,51998,409040,614376,545011,454998,604960,756959,602996,279999
793000,280007,52988,390993,590984,552007,465002,598918,718049,633963,283961
794000,259994,55015,408015,624995,542959,462996,610002,730956,614991,280002
795000,259049,51005,391952,615000,585042,470956,603040,717947,618038,282005
796000,278961,51999,398045,605966,545098,466000,627999,746995,595998,281048
797000,255013,52955,395040,579236,566991,466037,625963,748036,628997,298996
798000,262997,54044,408046,623234,560011,466008,614996,731021,606986,284962
799000,297010,52998,396002,609924,571036,467000,606960,775965,613955,299033
800000,260036,52996,404002,651168,576957,465038,824774,851146,686226,287804
801000,308335,53536,467045,646950,589985,537611,740137,831551,710897,1145862
802000,550800,52351,1032910,1818315,1064671,995527,1649159,2561560,1008940,701904
803000,854823,232296,1490121,2642946,1211287,1125475,2693875,2224057,1988938,833597
804000,435069,305316,1282885,1470874,1412735,905015,2905409,2491772,2256743,548662
805000,906056,156337,1543787,1439734,1021571,1098886,2523605,2047633,2237920,898627
806000,1132721,265115,941347,2364161,1749467,1487434,2121390,1384143,1823105,1511379
807000,566800,260655,1285200,2084258,1734141,1806202,1351926,1963994,2222005,1034443
808000,696872,62340,1201832,1772529,704913,708916,1448229,1063221,1514555,534909
809000,267583,58253,644519,1321419,714623,1422544,2410241,2626681,1873205,739754
810000,784133,144494,754452,2250638,1622824,1248203,1787232,1961858,1646029,908915
811000,722377,238693,911677,1551338,1620692,1296385,1784684,2080899,2033818,506883
812000,606722,253725,1838274,1666023,2772766,1569212,1957538,2004365,1840990,853855
813000,886126,96212,1061752,1620289,1470470,1505897,1819105,1888279,2272883,742367
814000,525912,137279,1036398,1202339,1156594,724056,1264120,1555165,1325389,449802
815000,507360,106955,601534,892297,1044089,1236029,1179562,1220094,1625219,617645
816000,468439,81678,512330,845294,821747,842140,1098047,1004054,1151620,458746
817000,432587,95493,679794,1110811,1082444,831225,1079730,1272122,1444423,570085
818000,529749,109475,637320,1049546,1044998,1261111,1700508,1526361,1482348,542784
819000,686712,132345,736254,1273919,1213464,1147206,1218526,1709590,1453817,594398
820000,408448,68263,802326,991551,897851,807322,1008681,1801946,1579305,571481
821000,888206,81720,1281236,2278658,921939,971868,1608731,1296579,1109822,614960
822000,614670,60648,1059327,1015557,1414924,1484500,1265671,1527384,838265,609080
823000,314912,133028,962478,1510065,1661583,681241,1398689,993092,1352542,642633
824000,516449,105762,1065349,2212119,1088094,826338,1106488,1996538,1887964,443296
825000,701885,229209,1220840,1376574,866690,1028132,1845836,1713204,2062616,754409
826000,740469,192031,1294431,1102013,1131317,1382303,1675087,1556684,2414901,521850
827000,688937,181623,1389452,1570192,898133,1063635,920781,1996650,1851191,910504
828000,894962,205940,1417059,1327062,1368107,1315276,1417525,1494576,1348394,449984
829000,457336,76746,707049,2119162,907555,1197886,1598217,1352465,1207624,715172
830000,418808,87871,1028685,1137175,1214502,1110060,1153716,1561085,1541793,615437
831000,683713,159367,1300071,1610633,1490509,1455404,1709852,2657578,1874855,547943
832000,914485,72616,868995,1138938,1497798,988650,1370967,1556972,943352,797511
833000,682622,64099,614565,1088760,1492853,1193712,1120449,1344003,1324910,510762
834000,377168,67112,1170734,1485578,1727121,1293542,1326464,1472898,1374107,492585
835000,478485,71581,775678,1381069,1490400,1211673,1623411,1988971,1486808,485562
836000,475691,139225,659280,1794864,1053733,855258,2041178,2226909,1064661,413086
837000,674006,81521,746764,1421156,2024305,1103733,2017402,1489224,1263496,595021
838000,589437,99282,751807,1169245,1639170,717298,1443730,1499842,1090106,855473
839000,768423,182290,1122986,1048222,1145714,1189784,1438172,1507540,1704173,588880
840000,581376,131260,820622,1708456,1142087,1143042,1140844,1678656,1931156,594693
841000,765664,97788,946286,1833985,1381801,1084899,1799592,1493128,1796681,665553
842000,854656,159493,977756,1845847,1202647,932091,1794267,1487326,1801633,430450
843000,590212,188434,962280,1312900,1690748,1098244,1275913,1685896,2166657,488133
844000,359700,68408,849639,1427190,1491298,1001554,1362169,2256805,1614839,390202
845000,502648,147673,1003144,1669946,1543218,745882,1039426,1533921,1546171,778518
846000,629562,180370,1159125,1627129,910028,752000,1154346,1662356,1669508,773514
847000,362366,153493,601435,1384514,1386647,1190456,1297770,1316608,1777772,694519
848000,502490,118578,543222,1491546,1426384,855784,1003851,1900787,1737447,1001195
849000,632391,108583,906890,1474451,1402091,1378788,2035044,1909449,1575858,606075
850000,601115,162004,776385,1621967,1106774,1226371,1565208,1688228,1876107,652045
851000,669320,85102,918851,1476123,1309016,1316480,1003080,1769538,1279509,402230
852000,360429,131257,854626,2722700,1600183,1072606,1758536,1738930,1118129,657658
853000,811470,156624,1074479,1208851,1123612,1043079,1520453,1875647,1812757,487098
854000,632200,158913,899735,1718828,1363046,1121645,1140702,1666966,1727465,537214
855000,514808,136666,1039698,1717408,1131850,1007357,1881751,1981934,2271716,581156
856000,565735,182192,865860,1406669,1462126,1135602,1528121,1977651,1793920,626449
857000,497944,199410,663911,1852083,1664129,1239015,1187265,1609708,1641511,535174
858000,382253,84404,659081,1185774,1648492,1210687,994462,1249927,1693103,572929
859000,683748,97876,1098422,1336277,1387979,776007,1253244,2185187,1657621,651097
860000,875903,166538,722618,1260832,1135804,767065,1829675,1558093,1688171,995207
861000,386275,86206,752176,947682,1097319,738764,1437921,1263892,1631888,585881
862000,513302,154544,1161852,1403811,1365249,1129078,975749,1361566,2254734,632717
863000,743169,134407,985461,1738721,1058660,1031652,1704094,1710832,1694745,801256
864000,395680,75741,693721,1075104,1405742,808797,1197545,2187322,1472594,493843
865000,533080,73736,1024620,1120899,1524169,1121700,1419347,1505399,1575460,653415
866000,721625,86935,1057884,1433689,842662,701279,934820,1080953,1167575,406134
867000,399021,78139,561629,880284,846220,778256,929865,1086705,1148874,440481
868000,410287,138752,616876,945819,912865,787079,927055,1076002,1007480,451981
869000,416568,75835,623605,997989,889133,792112,979473,1019905,952717,404933
870000,440455,178381,775398,1185140,980266,920833,1233134,1052955,1066271,449349
871000,423647,101870,616051,818453,827494,690769,989030,1097104,1114646,403959
872000,432640,88455,740280,1037626,1005609,799462,1042785,1122274,1034983,402814
873000,382278,73821,634926,970020,838850,732418,923788,1227321,1037798,414712
874000,401507,85658,612434,956099,890391,769138,970115,1560593,1359120,807311
875000,698194,105816,639379,1186413,970144,870059,1668966,1513188,1462868,842714
876000,966368,71388,691373,1179764,1166481,1065690,1877867,1541910,1446917,655046
877000,617183,246114,979842,1241074,1167980,906094,1090240,1273791,1429304,566469
878000,562234,77574,1577404,1191432,1056200,1316573,1712978,2159422,1614755,835660
879000,1053115,70526,764310,1622066,1446376,1282368,1620391,2131113,1246766,424684
880000,803894,79089,815665,1520904,1501599,1220661,1369555,1779855,2029877,612977
881000,403997,132965,741864,1321521,1071049,1896352,1570287,1472501,1346358,622952
882000,717347,72135,942325,1266672,1008084,1300887,1355441,1602275,1250482,658578
883000,715376,86998,876664,1481449,1384162,1289696,1534936,1680485,1548570,696413
884000,752647,206406,1021863,1758608,1367589,817473,1143759,1915310,1819765,564014
885000,575991,231822,820699,1682373,1269093,1100084,1841491,2093243,1762820,961928
886000,524750,99951,890420,1448922,1403365,1144656,1175018,2225135,1053120,400261
887000,441830,73213,1102572,1400564,1688616,1561645,1820502,1903376,1750326,774450
888000,442548,71554,958793,1150050,1010005,1881925,1217903,1415491,2123168,573716
889000,705004,67339,756850,2007590,1926053,1023944,1089216,1718978,1562108,530788
890000,718868,203850,991227,1334462,1303258,1596566,1006902,1768996,1945137,551690
891000,868288,73552,1197043,1221156,1544318,1443529,1424125,1394050,2006467,845852
892000,936664,276207,1128523,1675711,2377542,1603556,1298396,2119200,2109081,1010344
893000,760791,197516,846599,1856037,1040481,888614,1820845,1974449,1322855,561832
894000,637117,234254,836612,1471424,1729436,1240560,2257288,1818693,2538487,808558
895000,838624,69051,1053588,1421090,972343,1030125,1593492,1656653,1193734,416168
896000,710906,171640,663245,1067159,722433,791704,1226160,1168494,1114479,505690
897000,790952,158865,655828,1215022,1397083,896145,1477377,1735502,1336001,747678
898000,718744,129962,871055,1254802,1048236,991080,1054614,1601823,1136236,750778
899000,694568,133044,801702,1552395,1642897,1364893,2068337,2334227,1450611,618926
900000,594010,277943,1295643,1248650,1779292,1416369,1317054,1503016,2004426,732849
901000,679392,123308,806444,1894588,1344632,879980,1477333,1489094,1416594,595770
902000,699973,164951,903286,1184242,1499574,1130301,1350178,1198017,1741037,555176
903000,521342,205439,1351665,1589772,1003891,969842,1391470,1465498,1690161,669606
904000,476727,133825,896849,1785951,1501261,1146451,1430508,2285971,1735832,535057
905000,641684,188071,553300,1221777,1519801,1316132,1561183,1710678,1306420,512391
906000,707465,205114,1220768,1335959,1213127,1583939,1790350,1393129,1178010,748827
907000,869991,194068,735828,1110254,1265113,1066072,1319588,1832774,1747547,691073
908000,482938,190954,694324,1781592,1502997,1151952,1647039,1664430,1723679,774954
909000,477275,88248,730547,1180024,1773472,1449990,1735622,1657194,2081229,472958
910000,535008,193410,799026,1473603,1113394,1587837,1430810,2068533,1345216,499278
911000,593861,180223,1026533,1295495,1061774,1648974,1347803,1702102,1947923,551061
912000,468250,131722,870940,1584897,1097045,1550597,1908670,1943542,1760945,620456
913000,902901,138638,1204460,1350047,1563696,899421,1751298,2074086,1879605,1053241
914000,875402,77760,1083699,1389700,1302008,1234057,1498711,2353114,1907362,461929
915000,425560,71450,1321538,936938,1479832,979904,1146979,1342225,1544589,779676
916000,748055,187372,840398,1772390,1222835,886977,1653680,2328191,1348162,670672
917000,536099,74247,1043390,1232502,1266662,1445637,1754705,2061376,1194766,468351
918000,699912,154138,793687,1975728,1129940,1388594,1581246,1289615,1766585,930780
919000,571226,81112,648575,1551042,1585473,1232573,2153633,1895525,2024109,685082
920000,366089,205417,957404,1946864,1652570,1101350,1861511,1560380,1697768,951890
921000,1053669,233212,1201325,1501840,1703977,1044312,1616211,1406394,1515910,748117
922000,838667,223115,1117286,1817153,1349823,1497332,1224581,1456485,1785456,688827
923000,477248,105982,1071087,1085402,1237916,1580976,1863628,2497159,1934524,604518
924000,424388,104278,633431,1042048,903921,761099,956070,1218607,1211058,441504
925000,397626,80149,614379,982523,1065059,751055,969098,1185062,1129608,434188
926000,462102,103025,609501,1044862,1010896,805304,1010293,1188516,1385491,1165913
927000,769602,244317,897499,1709607,1156649,1000564,1324899,1734069,2045006,763401
928000,770136,161454,1239445,1937514,1207384,994855,1263928,1990304,2067086,954378
929000,636107,95308,729069,1731017,1162879,1425013,2129796,1979703,2260411,875294
930000,466468,71669,696950,1463165,1405282,1605107,1331797,2486755,1298179,531192
931000,780048,230547,1709139,1587354,1478085,1839235,1485713,2184875,1178949,928145
932000,834115,208695,768562,1267600,1576449,1236925,1572815,2152776,1511253,926521
933000,530502,100119,1439037,2012717,1477363,1456923,1705072,1583040,1965657,490569
934000,438597,76272,653984,1851776,1593683,1261397,2261075,1853064,1964016,752681
935000,716811,98896,991755,1180914,1174451,1964014,1906036,1822780,1492962,1020832
936000,556723,120214,689950,1816146,1818209,1685887,1761996,1726471,1516484,719121
937000,520409,76103,849924,995485,1168723,1209193,1456194,1375770,1337766,1530417
938000,508221,119430,938883,1715852,1190186,1672050,2016675,1563032,1521324,549660
939000,602398,167785,1030178,2079254,1349315,1383864,1280129,1604384,1808541,707005
940000,472398,154303,770115,1477483,1572499,1174734,1332651,1751040,1956382,958313
941000,462714,144973,1139096,1188246,1576719,1069293,2166849,1682118,1317739,590056
942000,478239,113110,1507856,1742730,1251992,1211260,1559933,1497340,1873699,696368
943000,669923,155097,966086,1419281,1726552,1777952,2003181,1472527,1592458,712260
944000,832507,100320,1124850,1742722,1351891,1185551,2228252,2441208,1966581,917480
945000,800881,106244,1249827,1337238,1132592,877016,1879519,1935072,1777241,585987
946000,487457,75680,933595,1840452,1901636,1063870,2060382,1665426,1675018,701025
947000,729245,102087,939192,1996736,1497162,957434,1793420,1989106,1832100,565885
948000,622142,79340,774298,1301132,1299231,1247039,1523593,1331096,1899542,774126
949000,472532,134785,953548,1604151,1055817,917397,1527486,2427737,1912842,505121
950000,464820,89684,1105552,1744574,1517475,1353620,1671183,1956818,1679270,1059502
951000,548521,180515,900338,1224368,1689192,1637727,1670168,1673381,2177057,562754
952000,939443,204744,1557341,2241832,1423449,1415700,1657678,2381736,2010462,762938
953000,713715,254276,958637,2096212,1834174,1569380,1758033,1695632,2505646,962071
954000,879307,163549,1517050,1934923,1678485,1059280,2856012,1972882,2716878,539780
955000,431510,183486,961106,1450200,2240201,1373229,1828120,2247920,1615877,997652
956000,472169,113996,1043877,1464985,1157713,967054,1826033,2286166,1936504,428530
957000,454625,158567,708938,1047837,1427999,1601221,1757624,2262034,1712541,1073441
958000,812067,86088,1332399,1640808,1182186,1450984,1440461,1919263,1221460,527250
959000,712711,130181,821590,2277853,2510768,1542874,2143427,1759887,1963709,1175093
960000,486102,105626,760558,1984867,1472696,1501352,1934100,2179057,1832526,738878
961000,705351,184156,1260082,1601373,1805730,1263447,1563911,1758454,1089701,488077
962000,437970,135298,1123739,1536381,1521808,1278258,1481262,2524339,2023812,587483
963000,962918,182613,995747,1241534,1393666,897004,2077414,2116882,1711795,554888
964000,576216,253030,1727229,1865235,1836883,1094984,1737021,2731469,1738046,1114135
965000,584688,157987,958440,1931191,1399106,1622213,1307758,1836918,2217868,486533
966000,582236,256531,1435031,1657803,1185183,830933,2106611,2806163,1832030,795595
967000,544962,114514,1031007,1637965,1601650,1214245,1718626,1986894,1995907,921524
968000,757333,84668,1085306,1317321,1553038,1150778,1010657,2405104,2073396,793200
969000,840155,231739,1285300,1553411,2150922,1719016,1792897,2436676,1706298,873516
970000,470822,83835,1170269,2390794,1649843,1480644,1814958,1972991,2480865,792986
971000,546040,139069,1193113,1408082,1605145,1625634,2388456,1840171,1163730,451006
972000,470103,88978,662782,1011937,1077257,803020,1065150,1194626,1312933,478076
973000,442192,93572,707671,1006917,1009086,822543,1012409,1307065,1259731,514013
974000,565209,93466,676122,984808,1528859,1974342,1333093,1846031,1847302,573082
975000,526807,115728,912888,1497029,1708608,1760809,1742932,2237863,2282441,881943
976000,818675,208978,1279164,1409180,1479699,1022062,1679452,1976676,1948212,633509
977000,1042553,77997,1468151,1537692,1228041,1254866,1780919,1565276,1575612,504225
978000,686408,93539,1066876,1328798,1795897,1349941,1813845,1721813,2220070,675364
979000,476685,103030,1034212,1772915,2147113,1213613,1993400,2297033,2440719,872511
980000,491064,103690,961348,1500696,2170086,1510663,2275173,1989834,1392582,1216662
981000,1079944,134196,726248,1308642,1755907,1460442,1564513,1472704,1575968,949987
982000,584662,121240,1016391,1582332,1342438,1280907,1387026,3056733,1535018,703665
983000,960924,151709,1617322,2445274,1295852,1062368,1532920,2566641,2226572,1329827
984000,1026133,294321,1365289,3052030,1163169,1048027,1559611,2381125,1710021,491694
985000,814303,84739,1017737,2111461,1403357,1232296,1888937,2009268,1960936,922213
986000,619488,213710,814646,1872906,1608598,1482550,1846244,1588110,2150164,829383
987000,548275,118786,857389,1314889,1481649,1211738,1659217,1781908,1552679,863902
988000,486451,141259,1293494,1413517,1112426,1186561,1438215,2065443,2086125,826046
989000,1026033,97275,1210590,2212894,1558944,1979469,1371180,2100447,1705337,968281
990000,790155,295088,1335643,2156983,1514009,1594463,1398409,1939835,2021147,534360
991000,855652,177576,1210319,1832287,1322679,1173289,1380754,2457997,1607671,660656
992000,664438,84045,1374687,1851837,1225445,1267123,1857433,2262958,1820879,604944
993000,857824,204977,1769226,1707953,1472399,1216553,1984034,2113260,2001846,688369
994000,759894,173668,1276099,1931219,2453051,1374116,1975551,2379778,1968494,945410
995000,764979,171591,1171480,2029324,1414470,1440176,1391939,1786025,2006898,670434
996000,709742,316776,1414278,1468597,1466025,1805352,1919830,1697158,2481101,931282
997000,990944,119205,931647,2236060,1524952,1445968,1240188,1783780,1996361,903889
998000,659169,283188,778901,1350468,1416187,1166831,1264686,1710720,1784720,484295
999000,965274,193949,994799,1312807,1233707,983224,1587672,2156254,1560177,540609
1000000,582975,84990,1072164,1891108,1644056,1763231,2025654,2428986,1898126,479647
